frame,x1,y1,w,h,score,ms
336,47.43,252.39,210.67,55.62,0.949,27.5
337,49.3,254.23,210.27,55.88,0.9553,28.0
338,50.52,257.07,206.38,55.33,0.943,27.6
339,47.83,261.22,203.85,54.76,0.8243,28.1
340,49.01,265.57,200.48,53.75,0.9638,28.0
341,52.74,269.97,199.18,53.85,0.9696,27.9
342,53.4,271.74,197.41,52.93,0.9785,28.2
343,54.63,273.78,196.06,52.08,0.9626,27.9
344,54.86,275.22,194.08,50.99,0.9556,27.8
345,53.76,276.42,192.24,49.74,0.9652,27.4
346,54.52,277.71,194.98,49.05,0.9834,28.9
347,56.0,278.2,191.69,48.76,0.9452,27.6
348,55.43,278.74,193.99,48.59,0.9604,28.0
349,54.91,278.63,196.1,49.22,0.9659,27.0
350,55.92,276.58,196.4,50.34,0.9452,28.2
351,55.96,275.06,197.25,51.43,0.9171,27.1
352,54.46,273.39,199.0,52.06,0.9607,28.7
353,55.44,271.67,200.57,52.29,0.9522,27.6
354,54.31,269.51,202.55,52.89,0.956,28.2
355,51.89,268.8,205.35,53.09,0.9384,27.0
356,49.12,268.15,207.9,53.36,0.9405,28.0
357,48.9,267.73,207.57,53.3,0.804,26.9
358,50.1,267.98,208.12,53.23,0.9011,28.3
359,48.07,267.81,209.87,53.33,0.8405,27.1
360,47.5,267.68,210.34,53.75,0.9578,27.9
361,48.66,265.79,210.23,54.79,0.9501,27.0
362,46.04,265.97,211.57,55.05,0.9447,29.0
363,45.41,265.28,212.58,55.32,0.9681,27.0
364,46.09,265.73,213.9,55.38,0.9578,28.2
365,44.46,266.39,215.52,55.07,0.8626,27.1
366,45.09,265.31,215.54,55.76,0.946,28.8
367,44.78,266.01,215.94,55.52,0.825,27.5
368,45.38,265.56,215.96,55.75,0.9002,28.6
369,43.74,266.55,216.9,55.85,0.9158,27.1
370,42.9,266.85,218.49,56.11,0.959,28.3
371,42.72,266.92,219.71,56.41,0.9498,27.3
372,40.0,267.58,221.28,56.62,0.9356,28.5
373,41.31,266.65,221.65,57.13,0.9013,27.3
374,41.34,266.15,221.9,57.77,0.942,27.9
375,40.66,265.28,221.12,58.56,0.9416,27.4
376,40.21,264.71,220.92,58.9,0.9515,28.0
377,44.68,264.59,219.53,58.72,0.9066,27.4
378,43.01,265.69,215.37,58.06,0.9168,28.2
379,45.66,265.25,216.12,57.88,0.9483,27.3
380,43.38,265.71,217.56,57.99,0.9545,28.2
381,44.2,264.7,218.78,58.24,0.9477,27.9
382,45.28,263.77,220.01,58.39,0.9578,28.2
383,46.97,263.41,220.5,58.5,0.946,27.8
384,45.81,263.87,216.37,58.16,0.7642,28.5
385,53.6,265.09,215.81,57.7,0.9336,28.0
386,55.21,263.64,217.83,58.14,0.942,28.1
387,55.85,262.57,219.46,58.4,0.9538,28.3
388,56.74,262.15,220.32,58.62,0.96,27.9
389,59.19,261.59,220.59,58.82,0.9573,28.4
390,58.25,260.99,221.52,58.91,0.9457,28.0
391,58.64,261.24,220.87,59.11,0.9484,28.1
392,57.91,261.84,221.39,59.72,0.9572,27.2
393,60.02,262.77,220.11,60.21,0.951,28.4
394,62.05,263.91,219.58,60.09,0.9586,27.3
395,63.32,265.65,219.83,59.8,0.9727,28.3
396,61.39,266.5,221.04,59.84,0.9659,27.4
397,62.49,267.94,221.12,61.01,0.9738,28.7
398,60.83,272.09,221.41,61.53,0.9827,27.2
399,60.43,275.36,221.69,62.23,0.9709,28.1
400,62.0,278.08,220.6,62.08,0.9741,26.8
401,60.71,280.2,221.12,61.87,0.9823,28.5
402,58.81,281.81,222.57,61.42,0.9883,27.4
403,60.19,282.96,222.5,61.32,0.9618,28.0
404,59.52,285.24,223.43,61.35,0.9558,27.1
405,56.9,287.17,224.09,61.51,0.9517,28.3
406,59.87,287.69,222.54,61.24,0.9584,26.9
407,56.81,286.71,223.29,61.64,0.9516,28.5
408,61.95,284.95,221.17,62.01,0.9523,26.9
409,58.73,284.71,217.05,61.48,0.968,28.2
410,60.82,282.75,217.42,61.59,0.9728,27.4
411,57.56,281.18,220.02,61.36,0.9723,28.0
412,55.38,278.38,221.67,61.84,0.9786,26.9
413,52.29,276.36,223.03,62.07,0.9732,27.9
414,53.31,275.33,223.54,62.72,0.988,27.2
415,50.84,275.14,224.49,63.07,0.9812,28.1
416,48.73,273.69,225.33,63.66,0.9778,27.0
417,47.96,272.93,226.59,63.48,0.9783,28.6
418,46.64,272.11,227.64,63.74,0.9882,27.2
419,47.91,272.95,226.94,63.81,0.9695,28.7
420,45.98,271.68,226.82,64.62,0.976,28.7
421,44.63,272.41,227.22,64.36,0.974,28.9
422,45.4,272.5,227.81,64.48,0.9729,27.6
423,44.62,271.99,228.55,64.31,0.9817,27.8
424,45.99,271.82,228.45,64.57,0.9847,27.0
425,44.17,271.76,227.35,65.31,0.9921,28.5
426,43.41,273.77,226.63,65.09,0.9861,27.8
427,40.42,274.22,226.95,64.83,0.9908,28.3
428,38.28,274.46,227.15,64.7,0.9855,27.9
429,38.59,274.82,227.09,64.59,0.9926,28.0
430,37.15,275.15,227.56,64.75,0.9919,28.2
431,38.24,275.59,227.52,65.12,0.9937,28.1
432,36.23,276.31,226.9,65.49,0.994,28.8
433,37.03,276.83,225.84,65.83,0.9938,27.9
434,37.57,277.12,224.19,65.87,0.9911,29.0
435,35.5,277.39,224.76,65.4,0.9865,27.9
436,36.21,277.04,224.3,65.27,0.9927,28.5
437,38.62,277.01,223.81,64.81,0.9914,27.3
438,35.82,278.06,225.31,64.15,0.9858,28.7
