frame,x1,y1,w,h,score,ms
397,60.33,273.07,205.72,57.16,0.8137,26.8
398,67.38,278.79,207.49,57.05,0.6348,28.5
399,58.95,281.67,208.66,57.11,0.7054,26.9
400,56.76,288.89,207.04,59.05,0.8876,28.1
401,61.26,282.05,208.0,58.71,0.4234,26.9
402,63.71,285.5,212.1,58.54,0.752,28.0
403,53.03,287.66,213.08,58.7,0.4443,27.0
404,57.3,291.61,216.24,59.39,0.8377,28.1
405,51.96,294.08,219.18,59.2,0.7857,27.0
406,57.0,294.61,219.09,59.14,0.4794,28.3
407,58.16,294.02,218.29,59.11,0.6404,26.6
408,43.81,286.84,217.9,59.43,0.2499,28.4
409,48.17,290.37,220.06,59.91,0.701,27.1
410,36.78,294.37,221.47,61.14,0.5891,28.2
411,41.25,286.24,222.02,62.18,0.8559,26.9
412,33.46,276.84,224.56,62.58,0.5657,28.4
413,35.11,279.66,227.24,63.3,0.8276,27.3
414,32.54,281.67,229.51,63.48,0.6779,28.9
415,30.77,283.7,229.78,64.78,0.6728,28.9
416,36.98,274.04,230.74,64.41,0.7095,28.5
417,24.15,278.55,231.89,64.81,0.7166,27.2
418,28.37,282.22,230.92,66.11,0.9053,28.4
419,14.39,273.83,232.79,66.31,0.6732,27.2
420,16.02,281.07,233.03,66.23,0.9329,28.2
421,26.58,285.69,235.05,66.96,0.7454,27.7
422,11.5,277.18,236.62,67.95,0.7069,28.3
423,19.35,280.84,233.85,70.06,0.8073,28.1
424,3.4,271.48,235.93,70.18,0.794,28.5
425,10.68,276.6,238.58,70.53,0.8572,28.4
426,16.02,280.06,239.11,70.32,0.8272,27.9
427,15.92,283.66,238.32,72.04,0.8568,29.2
428,19.16,283.8,239.8,71.83,0.7827,27.8
429,23.1,285.28,241.62,72.75,0.717,28.7
430,10.77,278.17,242.86,74.1,0.9311,27.3
431,3.15,283.36,242.5,74.42,0.8576,28.2
432,16.39,285.06,241.42,76.04,0.7206,27.4
433,30.23,284.11,239.95,75.28,0.9027,28.8
434,13.26,287.17,242.09,74.08,0.7981,28.3
435,4.81,292.99,239.63,75.44,0.8534,28.5
436,20.9,279.91,240.84,75.29,0.8218,27.3
437,16.14,282.08,240.84,75.61,0.9006,28.4
438,15.3,284.04,240.55,76.87,0.8566,27.3
439,16.19,287.04,240.16,77.79,0.8098,28.5
440,0.45,279.93,242.27,76.66,0.7955,27.4
441,10.53,272.26,247.85,75.92,0.8713,28.8
442,12.99,279.96,248.6,76.25,0.8793,28.0
443,2.42,286.09,248.09,75.82,0.6421,28.5
444,8.95,276.49,248.99,74.84,0.8349,28.0
445,2.45,282.75,248.02,74.72,0.7653,28.5
446,8.53,275.48,249.09,74.38,0.4257,28.8
447,-3.29,284.06,249.71,73.29,0.8796,27.9
448,10.0,275.65,250.32,74.18,0.8357,28.7
449,3.71,281.23,251.77,74.02,0.8794,27.3
450,20.87,273.03,250.46,75.32,0.9548,28.6
451,16.87,279.87,246.33,77.7,0.9197,27.1
452,3.05,290.06,248.3,77.18,0.5036,28.6
453,17.82,275.9,252.96,77.23,0.891,27.4
454,9.19,282.54,251.56,77.69,0.8551,28.5
